,Region,County
0,Europe,Albania
1,Europe,Andorra
2,Europe,Armenia
3,Western Pacific,Australia
4,Europe,Austria
5,Europe,Azerbaijan
6,Eastern Mediterranean,Bahrain
7,South-East Asia,Bangladesh
8,Europe,Belarus
9,Europe,Belgium
10,South-East Asia,Bhutan
11,Europe,Bosnia and Herzegovina
12,Africa,Botswana
13,Americas,Brazil
14,Europe,Bulgaria
15,Western Pacific,Cambodia
16,Americas,Canada
17,Americas,Chile
18,Western Pacific,China
19,Americas,Colombia
20,Africa,Congo
21,Americas,Costa Rica
22,Europe,Croatia
23,Europe,Cyprus
24,Europe,Czechia
25,Africa,C̫te d'Ivoire
26,South-East Asia,Democratic People's Republic of Korea
27,Europe,Denmark
28,Americas,Ecuador
29,Americas,El Salvador
30,Europe,Estonia
31,Africa,Eswatini
32,Africa,Ethiopia
33,Europe,Finland
34,Europe,France
35,Africa,Gambia
36,Europe,Georgia
37,Europe,Germany
38,Africa,Ghana
39,Europe,Greece
40,Americas,Grenada
41,Americas,Guatemala
42,Americas,Honduras
43,Europe,Hungary
44,Europe,Iceland
45,South-East Asia,India
46,Eastern Mediterranean,Iran (Islamic Republic of)
47,Eastern Mediterranean,Iraq
48,Europe,Ireland
49,Europe,Israel
50,Europe,Italy
51,Western Pacific,Japan
52,Eastern Mediterranean,Jordan
53,Europe,Kazakhstan
54,Africa,Kenya
55,Eastern Mediterranean,Kuwait
56,Europe,Kyrgyzstan
57,Western Pacific,Lao People's Democratic Republic
58,Europe,Latvia
59,Eastern Mediterranean,Lebanon
60,Europe,Lithuania
61,Europe,Luxembourg
62,Western Pacific,Malaysia
63,Europe,Malta
64,Americas,Mexico
65,Europe,Monaco
66,Western Pacific,Mongolia
67,Europe,Montenegro
68,Eastern Mediterranean,Morocco
69,South-East Asia,Nepal
70,Europe,Netherlands
71,Western Pacific,New Zealand
72,Americas,Nicaragua
73,Africa,Nigeria
74,Western Pacific,Niue
75,Europe,Republic of North Macedonia
76,Europe,Norway
77,Eastern Mediterranean,Oman
78,Eastern Mediterranean,Pakistan
79,Americas,Paraguay
80,Americas,Peru
81,Western Pacific,Philippines
82,Europe,Poland
83,Europe,Portugal
84,Eastern Mediterranean,Qatar
85,Western Pacific,Republic of Korea
86,Europe,Republic of Moldova
87,Europe,Romania
88,Europe,Russian Federation
89,Africa,Rwanda
90,Western Pacific,Samoa
91,Europe,San Marino
92,Europe,Serbia
93,Africa,Sierra Leone
94,Western Pacific,Singapore
95,Europe,Slovakia
96,Europe,Slovenia
97,Africa,South Africa
98,Europe,Spain
99,South-East Asia,Sri Lanka
100,Europe,Sweden
101,Europe,Switzerland
102,Europe,Tajikistan
103,Eastern Mediterranean,Tunisia
104,Europe,Turkmenistan
105,Western Pacific,Tuvalu
106,Africa,Uganda
107,Europe,Ukraine
108,Europe,United Kingdom of Great Britain and Northern Ireland
109,Africa,United Republic of Tanzania
110,Americas,United States of America
111,Americas,Uruguay
112,Europe,Uzbekistan
113,Western Pacific,Vanuatu
114,Africa,Zambia
115,Eastern Mediterranean,Afghanistan
116,Africa,Algeria
117,Africa,Angola
118,Americas,Antigua and Barbuda
119,Americas,Argentina
120,Americas,Bahamas
121,Americas,Barbados
122,Americas,Belize
123,Africa,Benin
124,Americas,Bolivia (Plurinational State of)
125,Western Pacific,Brunei Darussalam
126,Africa,Burkina Faso
127,Africa,Burundi
128,Africa,Cabo Verde
129,Africa,Cameroon
130,Africa,Central African Republic
131,Africa,Chad
132,Africa,Comoros
133,Western Pacific,Cook Islands
134,Americas,Cuba
135,Africa,Democratic Republic of the Congo
136,Eastern Mediterranean,Djibouti
137,Americas,Dominica
138,Americas,Dominican Republic
139,Eastern Mediterranean,Egypt
140,Africa,Equatorial Guinea
141,Africa,Eritrea
142,Western Pacific,Fiji
143,Africa,Gabon
144,Africa,Guinea
145,Africa,Guinea-Bissau
146,Americas,Guyana
147,Americas,Haiti
148,South-East Asia,Indonesia
149,Americas,Jamaica
150,Western Pacific,Kiribati
151,Africa,Lesotho
152,Africa,Liberia
153,Eastern Mediterranean,Libya
154,Africa,Madagascar
155,Africa,Malawi
156,South-East Asia,Maldives
157,Africa,Mali
158,Western Pacific,Marshall Islands
159,Africa,Mauritania
160,Africa,Mauritius
161,Western Pacific,Micronesia (Federated States of)
162,Africa,Mozambique
163,South-East Asia,Myanmar
164,Africa,Namibia
165,Western Pacific,Nauru
166,Africa,Niger
167,Western Pacific,Palau
168,Americas,Panama
169,Western Pacific,Papua New Guinea
170,Americas,Saint Kitts and Nevis
171,Americas,Saint Lucia
172,Americas,Saint Vincent and the Grenadines
173,Africa,Sao Tome and Principe
174,Eastern Mediterranean,Saudi Arabia
175,Africa,Senegal
176,Africa,Seychelles
177,Western Pacific,Solomon Islands
178,Eastern Mediterranean,Somalia
179,Africa,South Sudan
180,Eastern Mediterranean,Sudan
181,Americas,Suriname
182,Eastern Mediterranean,Syrian Arab Republic
183,South-East Asia,Thailand
184,South-East Asia,Timor-Leste
185,Africa,Togo
186,Western Pacific,Tonga
187,Americas,Trinidad and Tobago
188,Europe,Turkey
189,Eastern Mediterranean,United Arab Emirates
190,Americas,Venezuela (Bolivarian Republic of)
191,Western Pacific,Viet Nam
192,Eastern Mediterranean,Yemen
193,Africa,Zimbabwe
